caller,receiver,date,duration
9876543210,9811223344,2026-08-01 10:15:00,340
9876543210,9811223344,2026-08-01 14:22:00,520
9876543210,9811223344,2026-08-01 18:45:00,180
9876543210,9811223344,2026-08-02 09:10:00,610
9876543210,9811223344,2026-08-02 11:30:00,450
9876543210,9811223344,2026-08-02 15:40:00,720
9876543210,9811223344,2026-08-02 20:15:00,890
9876543210,9811223344,2026-08-03 01:25:00,420
9876543210,9811223344,2026-08-03 08:30:00,310
9876543210,9811223344,2026-08-03 12:15:00,480
9876543210,9811223344,2026-08-04 16:50:00,650
9876543210,9811223344,2026-08-05 19:20:00,240
9876543210,9811223344,2026-08-06 11:05:00,390
9876543210,9811223344,2026-08-07 14:40:00,510
9876543210,9811223344,2026-08-08 17:30:00,620
9876543210,9811223344,2026-08-09 21:10:00,430
9876543210,9811223344,2026-08-10 10:00:00,550
9811223344,9899887766,2026-08-02 12:00:00,410
9811223344,9899887766,2026-08-02 16:15:00,580
9811223344,9899887766,2026-08-03 09:45:00,320
9811223344,9899887766,2026-08-03 14:00:00,750
9811223344,9899887766,2026-08-03 23:45:00,620
9811223344,9899887766,2026-08-04 10:30:00,490
9876543210,9877665544,2026-08-01 09:00:00,150
9876543210,9877665544,2026-08-02 10:20:00,280
9876543210,9877665544,2026-08-03 11:40:00,310
9876543210,9877665544,2026-08-04 15:10:00,210
9876543210,9866554433,2026-08-01 11:00:00,450
9876543210,9866554433,2026-08-02 13:15:00,380
9876543210,9866554433,2026-08-03 16:30:00,520
9876543210,9855443322,2026-08-02 08:45:00,600
9876543210,9855443322,2026-08-03 13:50:00,420
9876543210,9822110099,2026-08-01 17:00:00,290
9876543210,9822110099,2026-08-04 12:15:00,340
9876543210,9811009988,2026-08-03 15:00:00,220
9876543210,9799887766,2026-08-04 18:30:00,310
9876543210,9766554433,2026-08-05 10:10:00,190
9876543210,9755443322,2026-08-05 14:20:00,270
9899887766,9833221100,2026-08-02 14:00:00,330
9899887766,9833221100,2026-08-03 17:30:00,410
9899887766,9833221100,2026-08-04 11:20:00,290
9899887766,9800998877,2026-08-01 12:10:00,480
9899887766,9800998877,2026-08-03 15:40:00,520
9899887766,9788776655,2026-08-02 18:00:00,610
9899887766,9788776655,2026-08-04 09:30:00,350
9899887766,9777665544,2026-08-03 10:15:00,400
9899887766,9777665544,2026-08-05 16:45:00,470
9899887766,9711009988,2026-08-02 11:00:00,250
9899887766,9699887766,2026-08-04 14:20:00,530
9899887766,9677665544,2026-08-05 18:10:00,390
9811223344,9844332211,2026-08-01 08:30:00,240
9811223344,9844332211,2026-08-02 14:50:00,310
9811223344,9744332211,2026-08-03 16:20:00,450
9811223344,9733221100,2026-08-04 11:15:00,620
9877665544,9866554433,2026-08-02 19:10:00,180
9877665544,9855443322,2026-08-03 20:30:00,290
9866554433,9799887766,2026-08-04 10:00:00,340
9855443322,9744332211,2026-08-03 14:40:00,510
9822110099,9744332211,2026-08-05 11:30:00,420
9833221100,9788776655,2026-08-04 15:50:00,380
9800998877,9777665544,2026-08-03 18:20:00,290
9788776655,9699887766,2026-08-05 12:45:00,460
9777665544,9677665544,2026-08-04 17:15:00,310
9766554433,9755443322,2026-08-03 09:20:00,190
9722110099,9876543210,2026-08-01 13:40:00,260
9722110099,9811223344,2026-08-02 15:10:00,310
9700998877,9855443322,2026-08-04 11:00:00,400
9688776655,9866554433,2026-08-03 16:50:00,330
9666554433,9876543210,2026-08-05 10:40:00,280
9876543210,9811223344,2026-08-11 09:15:00,490
9876543210,9811223344,2026-08-12 11:45:00,530
9876543210,9811223344,2026-08-13 14:20:00,670
9876543210,9811223344,2026-08-14 16:00:00,410
9876543210,9811223344,2026-08-15 18:30:00,590
9811223344,9899887766,2026-08-11 13:00:00,380
9811223344,9899887766,2026-08-12 15:30:00,610
9811223344,9899887766,2026-08-13 17:45:00,490
9811223344,9899887766,2026-08-14 10:15:00,530
9811223344,9899887766,2026-08-15 12:00:00,720
9876543210,9877665544,2026-08-12 09:30:00,210
9876543210,9866554433,2026-08-13 11:20:00,340
9876543210,9855443322,2026-08-14 14:10:00,460
9899887766,9833221100,2026-08-12 16:00:00,380
9899887766,9800998877,2026-08-13 10:30:00,290
9899887766,9788776655,2026-08-14 12:45:00,410
9899887766,9777665544,2026-08-15 15:10:00,530
9811223344,9744332211,2026-08-12 18:00:00,360
9855443322,9700998877,2026-08-13 13:20:00,440
9822110099,9876543210,2026-08-14 17:50:00,310
9799887766,9866554433,2026-08-15 19:30:00,280
9788776655,9833221100,2026-08-14 11:15:00,350
9766554433,9876543210,2026-08-13 16:40:00,220
9755443322,9877665544,2026-08-14 10:50:00,190
9744332211,9811223344,2026-08-15 14:00:00,480
9733221100,9899887766,2026-08-15 16:20:00,550
9722110099,9855443322,2026-08-13 12:10:00,270
9711009988,9899887766,2026-08-14 15:40:00,390
9699887766,9788776655,2026-08-15 18:10:00,430
9688776655,9799887766,2026-08-12 14:30:00,250
9677665544,9800998877,2026-08-13 17:00:00,320
9666554433,9766554433,2026-08-14 09:40:00,210
