id,name,aliases,role,primary_phone,primary_vehicle,primary_account,notes
P001,Rohit Sharma,"Rohit S.,R. Sharma",Key Node A,9876543210,DL01AB1234,ACC88990011,"Central figure in northern operations cluster"
P002,Amit Verma,"Amit V.,A. Verma",Intermediary / Bridge,9811223344,DL03XY5678,ACC88990022,"Liaison coordinating between northern and western networks"
P003,Sameer Khan,"Sameer K.,S. Khan",Key Node B,9899887766,MH12CD4321,ACC88990033,"Leader of western financial facilitation syndicate"
P004,Neha Kapoor,"Neha K.",Associate A,9877665544,DL01AB1234,ACC88990044,"Logistics coordinator; shared vehicle with Rohit Sharma"
P005,Vikram Singh,"Vikram S.,Vicky",Enforcer A,9866554433,HR26DQ9999,ACC88990055,"Operational security and physical transport"
P006,Karan Malhotra,"Karan M.",Financial Facilitator,9855443322,DL08ZZ1122,ACC88990066,"Manages shell accounts and Hawala transfers"
P007,Pooja Hegde,"Pooja H.",Communications Handler,9844332211,DL03XY5678,ACC88990077,"Shared phone handler with Amit Verma"
P008,Suresh Raina,"Suresh R.",Associate B,9833221100,MH02EE9876,ACC88990088,"Courier for cash drops and documentation"
P009,Rajesh Gupta,"Rajesh G.",Front Business Owner,9822110099,DL05CC4455,ACC88990099,"Owner of Apex Logistics front company"
P010,Sunil Mehra,"Sunil M.",Associate A,9811009988,DL01AB1234,ACC88990100,"Fleet manager; operates shared vehicles"
P011,Deepak Joshi,"Deepak J.",Associate B,9800998877,MH12CD4321,ACC88990101,"Western regional storage custodian"
P012,Rakesh Yadav,"Rakesh Y.",Associate A,9799887766,HR26DQ9999,ACC88990102,"Border crossing transport coordinator"
P013,Anil Deshmukh,"Anil D.",Financial Courier,9788776655,MH02EE9876,ACC88990103,"Oversees cash disbursement in Mumbai"
P014,Mohammad Aslam,"Aslam Bhai",Associate B,9777665544,MH14FF5566,ACC88990104,"Warehouse manager in Andheri East"
P015,Praveen Kumar,"Praveen K.",Associate A,9766554433,DL09GH7788,ACC88990105,"Surveillance detection scout"
P016,Ajay Tyagi,"Ajay T.",Associate A,9755443322,DL01AB1234,ACC88990106,"Vehicle driver"
P017,Sanjay Singhania,"Sanjay S.",Front Company Director,9744332211,DL08ZZ1122,ACC88990107,"Director of Delta Trading Corp"
P018,Vijay Mallya,"V. Mallya",Offshore Contact,9733221100,DL03XY5678,ACC88990108,"Offshore fund transfer routing consultant"
P019,Gaurav Taneja,"Gaurav T.",Tech Operative,9722110099,DL05CC4455,ACC88990109,"SIM card distributor and burner phone provisioner"
P020,Rohan Mehra,"Rohan M.",Associate B,9711009988,MH12CD4321,ACC88990110,"Sub-distribution handler"
P021,Priya Sharma,"Priya S.",Associate A,9700998877,DL01AB1234,ACC88990111,"Accountant for shell firms"
P022,Ankit Patel,"Ankit P.",Associate B,9699887766,MH02EE9876,ACC88990112,"Customs clearing agent"
P023,Harish Rawat,"Harish R.",Field Operative,9688776655,HR26DQ9999,ACC88990113,"Logistics driver"
P024,Tariq Ahmed,"Tariq A.",Associate B,9677665544,MH14FF5566,ACC88990114,"Safehouse supervisor"
P025,Manish Sisodia,"Manish S.",Associate A,9666554433,DL09GH7788,ACC88990115,"Regional distributor"
