sender,receiver,amount,date
ACC88990011,ACC88990022,450000,2026-08-01 11:30:00
ACC88990022,ACC88990033,420000,2026-08-01 16:45:00
ACC88990011,ACC88990066,850000,2026-08-02 02:15:00
ACC88990066,ACC88990077,350000,2026-08-02 10:20:00
ACC88990066,ACC88990022,480000,2026-08-02 14:00:00
ACC88990022,ACC88990107,450000,2026-08-03 09:15:00
ACC88990107,ACC88990033,430000,2026-08-03 13:40:00
ACC88990033,ACC88990088,250000,2026-08-03 17:10:00
ACC88990033,ACC88990103,320000,2026-08-04 11:00:00
ACC88990103,ACC88990104,180000,2026-08-04 15:30:00
ACC88990011,ACC88990044,50000,2026-08-01 09:00:00
ACC88990011,ACC88990055,75000,2026-08-02 12:30:00
ACC88990044,ACC88990099,45000,2026-08-03 14:20:00
ACC88990099,ACC88990107,120000,2026-08-04 16:00:00
ACC88990055,ACC88990102,35000,2026-08-05 10:15:00
ACC88990033,ACC88990101,85000,2026-08-02 18:30:00
ACC88990033,ACC88990110,60000,2026-08-03 11:20:00
ACC88990088,ACC88990112,40000,2026-08-04 13:50:00
ACC88990022,ACC88990108,650000,2026-08-05 15:10:00
ACC88990108,ACC88990033,620000,2026-08-06 09:40:00
ACC88990011,ACC88990022,500000,2026-08-07 10:15:00
ACC88990022,ACC88990033,480000,2026-08-07 14:30:00
ACC88990066,ACC88990111,220000,2026-08-08 11:00:00
ACC88990111,ACC88990099,190000,2026-08-08 16:20:00
ACC88990099,ACC88990011,150000,2026-08-09 12:45:00
ACC88990033,ACC88990114,90000,2026-08-09 17:15:00
ACC88990114,ACC88990104,75000,2026-08-10 10:30:00
ACC88990077,ACC88990022,110000,2026-08-10 14:50:00
ACC88990022,ACC88990055,80000,2026-08-11 09:20:00
ACC88990055,ACC88990113,45000,2026-08-11 13:10:00
ACC88990011,ACC88990100,55000,2026-08-12 11:40:00
ACC88990100,ACC88990106,30000,2026-08-12 15:00:00
ACC88990033,ACC88990103,280000,2026-08-13 10:25:00
ACC88990103,ACC88990088,150000,2026-08-13 14:15:00
ACC88990088,ACC88990033,120000,2026-08-14 09:50:00
ACC88990066,ACC88990022,520000,2026-08-14 13:30:00
ACC88990022,ACC88990033,500000,2026-08-14 16:40:00
ACC88990011,ACC88990066,920000,2026-08-15 01:10:00
ACC88990066,ACC88990107,880000,2026-08-15 11:20:00
ACC88990107,ACC88990033,850000,2026-08-15 15:00:00
ACC88990044,ACC88990011,60000,2026-08-15 17:30:00
ACC88990055,ACC88990011,85000,2026-08-16 10:00:00
ACC88990105,ACC88990115,25000,2026-08-16 12:40:00
ACC88990115,ACC88990011,35000,2026-08-16 15:10:00
ACC88990109,ACC88990011,40000,2026-08-17 09:30:00
ACC88990109,ACC88990022,45000,2026-08-17 11:50:00
ACC88990108,ACC88990022,300000,2026-08-17 14:20:00
ACC88990022,ACC88990011,280000,2026-08-17 16:45:00
ACC88990033,ACC88990011,1500000,2026-08-18 03:20:00
ACC88990011,ACC88990033,750000,2026-08-19 14:00:00
